59,0.305192,0.550678,0.685444,0.362536,-0.138485,0.245486,0.380252,0.0573438,-0.443677,0.134766,-0.188142,-0.689163,-0.322908,-0.823929,-0.501021,12,1,
59,0.285097,0.47166,0.585562,0.385481,-0.0116927,0.186563,0.300465,0.100384,-0.29679,0.113902,-0.0861795,-0.483353,-0.200081,-0.597255,-0.397174,13,1,
61,0.29147,0.50109,0.61743,0.28401,-0.21513,0.20962,0.32596,-0.0074559,-0.5066,0.11634,-0.21708,-0.71622,-0.33342,-0.83256,-0.49914,6,1,
62,0.284688,0.480577,0.591342,0.31259,-0.137244,0.195889,0.306654,0.0279018,-0.421932,0.110765,-0.167987,-0.617821,-0.278752,-0.728586,-0.449834,1,1,
63,0.269419,0.493966,0.626451,0.349176,-0.120326,0.224547,0.357032,0.0797568,-0.389745,0.132485,-0.14479,-0.614292,-0.277275,-0.746777,-0.469501,2,1,
63,0.314126,0.628777,0.782183,0.452586,-0.0908828,0.314651,0.468057,0.13846,-0.405009,0.153406,-0.176191,-0.71966,-0.329597,-0.873066,-0.543469,4,1,
63,0.249908,0.429089,0.55514,0.333336,-0.0548534,0.179181,0.305233,0.0834287,-0.304761,0.126052,-0.0957524,-0.483942,-0.221804,-0.609994,-0.38819,6,1,
64,0.250785,0.404484,0.514008,0.327402,-0.0278897,0.153699,0.263222,0.0766161,-0.278675,0.109524,-0.0770825,-0.432374,-0.186606,-0.541897,-0.355291,7,1,
64,0.300865,0.552967,0.696898,0.423622,-0.0359435,0.252102,0.396033,0.122756,-0.336809,0.143931,-0.129346,-0.588911,-0.273276,-0.732841,-0.459565,10,1,
88,0.287139,0.675876,0.851166,0.418288,-0.0892394,0.388737,0.564027,0.131149,-0.376378,0.17529,-0.257589,-0.765116,-0.432879,-0.940406,-0.507527,5,1,
162,0.326575,0.616178,0.759462,0.447966,-0.019865,0.289603,0.432887,0.121391,-0.34644,0.143284,-0.168212,-0.636043,-0.311496,-0.779327,-0.467831,6,1,
162,0.273989,0.444723,0.546478,0.233417,-0.193696,0.170734,0.272489,-0.0405726,-0.467685,0.101755,-0.211307,-0.638419,-0.313062,-0.740174,-0.427112,7,1,
162,0.285086,0.495998,0.624512,0.388241,-0.00460135,0.210913,0.339427,0.103156,-0.289687,0.128514,-0.107757,-0.5006,-0.236271,-0.629114,-0.392842,14,1,
212,0.255974,0.413971,0.517561,0.355844,0.0135549,0.157997,0.261587,0.0998697,-0.242419,0.10359,-0.0581276,-0.400417,-0.161717,-0.504006,-0.342289,4,1,
213,0.26839,0.446397,0.56808,0.313324,-0.115182,0.178007,0.29969,0.0449346,-0.383572,0.121683,-0.133073,-0.561579,-0.254756,-0.683262,-0.428507,1,1,
